LocationTime,LOCATION,TIME,Suicide_Val_MEN,Suicide_Val_TOT,Suicide_Val_WOMEN,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Smoking_Val,Soc_Spend_Val,Work_Hour_Val
ARG-1990,ARG,1990,15.3,9.3,4.6,9.5,52.0,31.3,0.0,25.8,0.0,0.0,0.0,1854.0
ARG-1991,ARG,1991,13.8,8.2,3.8,8.4,53.6,30.8,0.0,26.1,61.8,13.4,0.0,1845.6
ARG-1992,ARG,1992,15.8,9.0,3.7,8.2,61.8,33.0,86.7,25.5,59.4,12.1,2.0,1855.7
ARG-1993,ARG,1993,16.8,9.3,3.6,7.5,59.4,33.7,87.2,24.6,45.8,11.3,1.9,1874.2
ARG-1994,ARG,1994,15.4,8.7,3.5,10.0,45.8,36.1,87.5,24.3,52.3,10.8,1.9,1870.3
ARG-1995,ARG,1995,14.8,8.4,3.4,7.6,52.3,36.9,87.1,21.9,51.2,10.4,1.8,1861.5
ARG-1996,ARG,1996,14.6,8.4,3.6,8.1,51.2,37.6,86.8,22.4,49.8,10.2,1.7,1860.8
ARG-1997,ARG,1997,14.0,8.1,3.6,6.7,49.8,38.3,86.8,21.7,54.2,10.1,1.9,1849.9
ARG-1998,ARG,1998,14.7,8.4,3.4,6.3,54.2,41.3,83.1,25.0,51.3,9.3,2.0,1856.1
ARG-1999,ARG,1999,15.2,8.4,3.1,8.3,51.3,39.5,83.5,28.0,52.8,9.8,2.5,1852.2
ARG-2000,ARG,2000,17.2,9.4,3.4,7.5,52.8,41.9,83.2,24.5,51.6,28.2,2.5,1828.7
ARG-2001,ARG,2001,18.3,10.3,4.0,6.8,51.6,38.5,83.3,24.5,49.9,25.9,2.4,1818.0
ARG-2002,ARG,2002,17.3,10.1,4.2,7.5,49.9,30.1,84.4,24.4,50.1,0.0,2.4,1806.5
ARG-2003,ARG,2003,18.2,10.3,4.0,8.5,50.1,27.6,84.8,24.2,51.2,18.2,2.1,1811.4
ARG-2004,ARG,2004,16.5,9.4,3.7,9.2,51.2,16.7,83.1,25.8,50.2,17.5,2.1,1802.4
ARG-2005,ARG,2005,15.7,9.1,3.7,8.2,50.2,17.5,85.8,26.1,48.5,16.2,2.2,1803.1
ARG-2006,ARG,2006,16.1,8.9,3.2,7.6,48.5,17.8,87.2,25.5,47.0,16.3,1.9,1799.1
ARG-2007,ARG,2007,14.8,8.3,3.1,7.8,47.0,18.0,0.0,24.6,45.8,15.7,2.0,1766.7
ARG-2008,ARG,2008,15.1,8.5,3.2,8.4,45.8,19.0,86.5,24.3,44.8,16.1,2.4,1777.6
ARG-2009,ARG,2009,13.9,7.9,3.0,8.9,44.8,19.5,86.7,21.9,43.4,14.9,2.1,1773.9
ARG-2010,ARG,2010,14.1,7.9,2.9,8.2,43.4,20.1,87.2,22.4,42.8,14.0,2.1,1770.8
ARG-2011,ARG,2011,13.3,7.6,2.8,7.7,42.8,20.2,87.5,21.7,41.4,13.1,2.2,1766.0
ARG-2012,ARG,2012,14.8,8.4,3.1,8.0,41.4,20.6,87.1,20.6,40.6,12.5,1.9,1755.1
ARG-2013,ARG,2013,13.1,7.6,2.8,8.3,40.6,21.1,86.8,19.7,41.2,12.0,2.0,1751.3
ARG-2014,ARG,2014,14.0,8.1,3.2,7.9,41.2,20.5,86.8,18.8,0.0,11.3,2.1,0.0
ARG-2015,ARG,2015,14.0,7.9,2.9,8.5,44.8,0.0,0.0,18.2,52.3,10.3,2.1,0.0
ARG-2016,ARG,2016,13.6,7.6,2.6,8.4,43.4,0.0,0.0,20.5,51.2,0.0,2.2,1803.1
ARG-2017,ARG,2017,13.7,7.8,2.9,8.3,42.8,21.4,85.5,20.1,49.8,19.6,1.9,1799.1
ARG-2018,ARG,2018,14.2,8.0,2.7,8.0,37.0,21.9,86.2,21.0,54.2,18.6,2.0,1766.7
ARG-2019,ARG,2019,14.0,7.8,2.6,8.0,35.8,22.8,86.6,20.5,51.3,17.9,2.4,0.0
AUS-1990,AUS,1990,22.3,13.6,5.5,10.6,38.0,0.0,0.0,143.4,52.8,17.8,2.1,1853.0
AUS-1991,AUS,1991,22.6,13.9,5.9,10.1,44.1,31.2,75.2,151.9,51.6,17.2,2.1,1854.0
AUS-1992,AUS,1992,21.7,13.5,5.7,9.9,46.2,0.0,0.0,160.8,49.9,16.9,1.2,1845.6
AUS-1993,AUS,1993,20.0,12.1,4.7,10.2,47.2,22.5,82.0,169.4,50.1,16.5,1.4,1855.7
AUS-1994,AUS,1994,22.3,13.3,4.9,10.0,49.8,23.1,82.4,179.4,51.2,15.8,1.4,1874.2
AUS-1995,AUS,1995,19.9,12.3,5.2,9.8,44.9,24.3,83.3,184.4,50.2,15.5,3.3,1870.3
AUS-1996,AUS,1996,22.7,13.6,5.1,10.0,49.0,0.0,0.0,199.4,48.5,15.1,3.5,1861.5
AUS-1997,AUS,1997,23.5,14.6,6.2,10.2,46.7,24.3,83.4,199.9,47.0,12.0,3.9,1860.8
AUS-1998,AUS,1998,23.2,14.2,5.7,10.0,44.0,25.4,83.8,209.1,45.8,11.3,3.5,1849.9
AUS-1999,AUS,1999,22.2,13.4,5.2,10.0,42.6,26.7,82.0,208.5,44.8,10.3,4.0,1856.1
AUS-2000,AUS,2000,20.6,12.7,5.3,10.2,41.2,27.5,82.9,238.3,39.2,0.0,3.7,1852.2
AUS-2001,AUS,2001,20.8,12.9,5.4,10.0,41.1,29.0,83.1,257.8,33.9,19.6,4.0,1828.7
AUS-2002,AUS,2002,19.1,12.0,5.2,10.4,39.1,30.8,83.5,270.8,41.5,18.6,4.0,1818.0
AUS-2003,AUS,2003,17.6,11.0,4.8,10.3,37.5,31.3,83.2,286.1,40.5,17.9,3.5,1806.5
AUS-2004,AUS,2004,17.5,10.7,4.4,10.5,35.9,30.8,83.3,308.8,39.2,17.8,2.7,1811.4
AUS-2006,AUS,2006,16.7,10.6,4.9,10.8,33.3,33.0,84.4,328.0,38.0,17.2,2.9,1802.4
AUS-2007,AUS,2007,16.7,10.7,5.1,10.8,31.8,33.7,84.8,338.4,35.7,16.9,5.2,1803.1
AUS-2008,AUS,2008,17.7,11.1,4.7,10.8,30.1,36.1,83.1,357.4,33.9,16.5,4.4,1799.1
AUS-2009,AUS,2009,16.9,10.8,5.1,10.7,29.0,36.9,84.3,360.9,33.1,15.8,4.3,1766.7
AUS-2010,AUS,2010,17.3,11.0,4.9,10.4,26.8,37.6,84.0,387.0,32.0,15.5,4.3,1777.6
AUS-2011,AUS,2011,16.8,10.9,5.2,10.2,25.9,38.3,84.3,402.0,30.4,15.1,4.6,1773.9
AUS-2012,AUS,2012,17.7,11.5,5.7,10.0,23.6,41.3,84.4,428.8,29.4,14.9,4.8,1770.8
AUS-2013,AUS,2013,17.5,11.5,5.8,9.9,24.3,39.5,83.5,490.0,29.5,14.6,5.4,1766.0
AUS-2014,AUS,2014,19.5,12.6,6.1,9.7,22.9,41.9,82.9,504.6,28.7,13.9,6.0,1755.1
AUS-2015,AUS,2015,20.3,13.2,6.4,9.8,21.0,42.9,83.1,511.7,28.4,14.1,6.2,1751.3
AUS-2016,AUS,2016,18.6,12.2,6.1,9.5,20.1,43.7,83.5,535.4,27.2,12.4,6.4,1738.7
AUS-2017,AUS,2017,20.6,13.6,6.8,9.5,19.0,45.4,84.0,535.1,26.4,11.5,6.6,1738.5
AUS-2018,AUS,2018,20.1,13.0,6.1,10.2,18.1,45.7,84.1,537.9,25.3,11.2,0.0,1732.5
AUS-2019,AUS,2019,20.4,13.3,6.4,10.5,17.1,47.1,84.6,489.9,0.0,11.2,0.0,1722.3
AUS-2020,AUS,2020,19.2,12.4,5.9,9.8,16.2,49.3,81.5,545.1,0.0,12.3,0.0,1683.1
AUT-1990,AUT,1990,39.6,24.7,13.4,14.0,18.9,28.0,0.0,135.8,0.0,14.3,2.2,0.0
AUT-1991,AUT,1991,39.8,23.6,11.6,14.0,19.6,29.9,84.3,144.4,42.0,16.8,2.2,0.0
AUT-1992,AUT,1992,38.9,23.4,11.8,13.6,15.4,25.4,84.0,152.0,0.0,0.0,2.2,0.0
AUT-1993,AUT,1993,38.0,22.4,11.0,13.5,13.8,24.8,84.3,162.0,61.8,13.4,2.2,0.0
AUT-1994,AUT,1994,38.2,23.2,11.8,12.5,16.3,29.9,84.4,170.4,59.4,12.1,2.1,0.0
AUT-1995,AUT,1995,39.0,23.1,10.8,13.4,15.2,24.8,83.5,181.0,45.8,11.3,2.1,1653.0
AUT-1996,AUT,1996,39.7,23.1,10.5,13.5,19.8,28.0,82.9,189.3,52.3,10.8,2.0,1683.0
AUT-1997,AUT,1997,34.1,20.4,9.8,12.9,24.5,25.4,83.1,194.0,51.2,10.4,2.0,1691.0
AUT-1998,AUT,1998,34.6,20.1,9.0,12.9,28.8,24.8,83.5,207.8,49.8,10.2,1.9,1671.0
AUT-1999,AUT,1999,32.3,19.9,10.1,12.8,31.2,0.0,84.0,217.4,54.2,10.1,2.0,1675.0
AUT-2000,AUT,2000,33.1,20.1,10.1,13.2,33.0,25.4,84.1,237.5,51.3,9.3,2.1,1675.0
AUT-2001,AUT,2001,30.2,18.6,9.3,12.3,29.0,28.0,84.6,247.3,52.8,9.8,2.0,1663.0
AUT-2002,AUT,2002,33.4,19.2,8.3,12.1,28.0,29.9,0.0,269.7,51.6,28.2,2.0,1661.0
AUT-2003,AUT,2003,30.1,18.0,8.8,12.3,25.0,29.9,0.0,281.2,49.9,25.9,2.0,1652.0
AUT-2004,AUT,2004,29.9,17.3,7.7,12.1,23.7,24.8,81.2,312.4,50.1,0.0,2.0,1655.0
AUT-2005,AUT,2005,28.2,16.8,7.7,12.2,23.1,24.6,83.0,311.0,51.2,0.0,2.0,1632.0
AUT-2006,AUT,2006,26.0,15.2,6.4,12.5,19.9,25.4,84.0,319.5,50.2,25.5,2.0,1617.0
AUT-2007,AUT,2007,25.2,15.1,6.8,12.5,20.1,25.1,85.3,333.7,48.5,0.0,2.0,1606.0
AUT-2008,AUT,2008,24.7,14.6,6.5,12.0,19.1,26.2,85.3,343.8,47.0,24.5,2.1,1599.0
AUT-2009,AUT,2009,24.6,14.6,6.5,11.8,18.4,29.9,85.1,348.6,45.8,0.0,2.2,1558.0
AUT-2010,AUT,2010,24.2,14.4,6.3,12.1,17.6,27.7,84.9,369.2,44.8,23.8,2.2,1552.0
AUT-2011,AUT,2011,24.2,14.6,6.7,11.9,17.6,28.0,85.4,377.0,43.4,0.0,2.2,1557.0
AUT-2012,AUT,2012,24.0,14.2,6.0,12.1,17.1,28.7,86.0,396.6,42.8,0.0,2.2,1535.0
AUT-2013,AUT,2013,23.3,14.2,6.7,11.9,17.0,29.7,85.7,422.6,41.4,22.4,2.2,1520.0
AUT-2014,AUT,2014,23.5,14.3,6.6,12.2,16.1,29.9,85.3,430.4,40.6,0.0,2.2,1510.0
AUT-2015,AUT,2015,22.3,13.4,5.9,11.2,15.4,30.6,85.4,437.0,41.2,18.7,2.2,1495.0
AUT-2016,AUT,2016,20.8,12.7,6.0,11.4,15.5,31.4,86.2,460.5,0.0,0.0,2.2,1507.0
AUT-2017,AUT,2017,21.8,12.8,5.2,11.3,15.0,32.4,86.4,469.9,0.0,17.3,2.2,1498.0
AUT-2018,AUT,2018,21.4,12.5,5.1,11.3,14.7,32.7,86.3,475.3,0.0,0.0,26.9,1502.0
AUT-2019,AUT,2019,19.2,11.4,4.8,11.6,14.4,33.8,86.5,476.3,51.1,18.2,26.9,1508.6
AUT-2020,AUT,2020,18.2,10.8,4.6,11.3,14.3,34.2,86.0,470.5,0.0,17.5,0.0,1400.7
BEL-1990,BEL,1990,30.3,19.8,11.7,12.2,14.7,24.8,0.0,0.0,46.5,16.2,1.6,1662.9
BEL-1991,BEL,1991,29.4,18.6,10.4,11.4,56.8,19.6,85.1,0.0,33.9,16.3,1.5,1625.8
BEL-1992,BEL,1992,29.3,19.2,11.1,11.7,54.7,20.2,84.9,0.0,41.5,15.7,1.9,1602.7
BEL-1993,BEL,1993,34.4,21.8,11.5,11.7,41.5,32.4,0.0,0.0,39.2,16.1,2.3,1558.6
BEL-1994,BEL,1994,34.3,21.5,11.4,11.1,50.6,22.3,83.7,0.0,33.9,14.9,2.3,1558.6
BEL-1995,BEL,1995,33.6,21.6,11.5,11.0,46.5,24.6,83.7,137.5,41.5,14.0,2.1,1578.0
BEL-1996,BEL,1996,31.5,20.0,10.6,10.9,33.9,25.4,85.3,136.5,40.5,13.1,2.0,1575.0
BEL-1997,BEL,1997,33.4,21.4,11.5,10.9,41.5,32.4,85.4,157.8,39.2,12.5,1.9,1582.0
BEL-1998,BEL,1998,31.4,20.0,10.6,9.9,39.2,0.0,86.2,167.1,38.0,12.0,1.9,1574.0
BEL-1999,BEL,1999,28.5,18.2,9.3,10.1,33.9,32.4,86.4,179.6,35.7,11.3,1.8,1575.0
BEL-2000,BEL,2000,31.8,20.9,11.7,11.2,41.5,32.4,86.3,203.7,33.9,10.3,1.7,1589.0
BEL-2001,BEL,2001,32.6,21.0,10.8,11.0,40.5,27.6,84.5,206.0,33.1,24.1,1.9,1581.0
BEL-2002,BEL,2002,30.6,20.0,10.8,11.3,39.2,28.1,83.7,240.4,32.0,0.0,2.0,1594.0
BEL-2003,BEL,2003,31.4,20.1,10.4,11.3,38.0,29.0,83.6,259.3,30.4,16.2,2.5,1598.0
BEL-2004,BEL,2004,29.0,18.8,9.8,12.1,35.7,30.4,83.9,265.8,29.4,16.3,2.5,1588.0
BEL-2005,BEL,2005,29.3,19.1,10.0,12.2,33.9,31.0,84.2,269.4,29.5,15.7,2.4,1578.0
BEL-2006,BEL,2006,27.2,18.1,9.8,10.9,33.1,31.8,83.6,279.4,28.7,16.1,2.4,1592.0
BEL-2007,BEL,2007,25.6,17.1,9.6,10.3,32.0,32.1,84.9,293.5,28.4,14.9,2.1,1594.0
BEL-2008,BEL,2008,27.9,18.3,9.8,10.5,30.4,32.3,84.7,294.9,27.2,14.0,2.1,1582.0
BEL-2009,BEL,2009,27.6,18.3,9.8,10.1,29.4,33.4,84.2,301.4,26.4,13.1,2.2,1563.0
BEL-2010,BEL,2010,27.4,18.2,9.9,10.3,29.5,35.0,84.0,317.7,25.3,12.5,1.9,1574.0
BEL-2011,BEL,2011,27.7,18.6,10.5,10.1,28.7,34.6,84.2,330.2,0.0,12.0,2.0,1590.0
BEL-2012,BEL,2012,27.4,17.9,9.3,10.1,28.4,35.3,84.6,338.0,0.0,11.3,2.0,1587.0
BEL-2013,BEL,2013,24.8,16.6,9.1,10.3,27.2,35.5,84.1,360.0,48.1,18.9,1.9,1586.0
BEL-2014,BEL,2014,24.3,16.5,9.4,10.6,26.4,36.9,84.7,369.1,51.0,15.7,1.8,1582.0
BEL-2015,BEL,2015,23.6,16.2,9.2,10.4,25.3,36.9,84.6,381.7,0.0,16.1,1.9,1575.0
BEL-2016,BEL,2016,24.3,16.3,9.1,9.4,24.9,37.5,85.2,388.9,0.0,14.9,1.9,1574.0
BEL-2017,BEL,2017,22.0,14.8,8.2,9.3,23.2,40.3,85.2,397.1,0.0,14.0,1.9,1578.0
BEL-2018,BEL,2018,22.6,15.2,8.4,9.2,21.8,40.6,86.1,410.9,55.4,13.1,28.8,1580.0
BGR-1990,BGR,1990,25.7,17.2,9.9,6.8,39.2,0.0,0.0,196.9,0.0,0.0,0.0,0.0
BGR-1991,BGR,1991,28.4,17.7,8.8,9.4,33.9,0.0,84.7,202.7,61.8,12.4,2.0,0.0
BGR-1992,BGR,1992,31.6,20.2,10.3,7.8,41.5,37.5,84.2,206.9,59.4,11.5,1.9,0.0
BGR-1993,BGR,1993,28.2,18.9,10.8,7.9,40.5,40.3,84.0,221.8,45.8,11.2,1.9,0.0
BGR-1994,BGR,1994,29.6,19.0,10.1,9.8,39.2,40.6,84.2,229.0,52.3,11.2,1.8,0.0
BGR-1995,BGR,1995,28.3,18.4,9.9,8.4,38.0,0.0,84.6,240.6,51.2,12.3,1.7,1710.7
BGR-1996,BGR,1996,31.8,19.9,10.0,8.6,35.7,0.0,84.1,256.1,49.8,14.3,1.9,1708.2
BGR-1997,BGR,1997,28.8,19.0,11.0,7.9,33.9,0.0,84.7,276.0,54.2,16.8,2.0,1706.9
BGR-1998,BGR,1998,31.5,20.2,11.0,9.2,33.1,24.8,84.6,293.7,51.3,0.0,2.5,1650.0
BGR-1999,BGR,1999,27.8,17.0,8.1,9.9,32.0,19.6,85.2,302.8,52.8,13.4,2.5,1669.5
BGR-2000,BGR,2000,28.6,18.0,9.2,10.1,30.4,20.2,85.2,324.4,51.6,12.1,2.4,1640.3
BGR-2001,BGR,2001,26.8,16.9,8.6,11.2,29.4,32.4,0.0,341.7,49.9,11.3,2.4,1651.9
BGR-2002,BGR,2002,28.1,17.1,8.0,10.6,28.8,22.3,85.1,366.4,50.1,10.8,2.1,1651.3
BGR-2003,BGR,2003,23.2,14.3,7.1,11.2,31.2,24.6,84.9,387.1,51.2,10.4,2.1,1640.5
BGR-2004,BGR,2004,21.3,13.0,6.1,11.0,33.0,25.4,0.0,102.3,50.2,10.2,2.2,1663.7
BGR-2005,BGR,2005,20.2,12.6,6.2,10.5,29.0,32.4,83.7,109.3,48.5,10.1,1.9,1658.6
BGR-2006,BGR,2006,21.5,12.5,5.2,10.4,28.0,0.0,83.7,121.9,47.0,9.3,2.0,1654.1
BGR-2007,BGR,2007,18.7,11.4,5.5,10.9,25.0,32.4,85.3,129.7,45.8,9.8,2.7,1654.5
BGR-2008,BGR,2008,19.5,11.9,5.6,11.0,23.7,32.4,85.4,142.9,44.8,28.2,2.7,1693.6
BGR-2009,BGR,2009,18.4,11.0,4.8,11.0,23.1,27.6,86.2,152.8,43.4,25.9,2.7,1646.3
BGR-2010,BGR,2010,18.4,10.9,4.8,9.8,19.9,28.1,86.4,169.4,42.8,0.0,2.7,1644.8
BGR-2011,BGR,2011,16.7,9.8,3.7,9.9,20.1,29.0,86.3,189.4,41.4,0.0,2.5,1643.6
BGR-2012,BGR,2012,18.8,11.1,4.7,10.9,19.1,30.4,84.5,222.7,40.6,25.5,2.6,1644.4
BGR-2013,BGR,2013,15.9,9.2,3.5,10.3,18.4,31.0,83.7,193.9,41.2,0.0,2.9,1645.0
BGR-2014,BGR,2014,15.5,9.2,3.9,10.3,17.6,31.8,83.6,209.8,0.0,24.5,3.2,1644.1
BGR-2015,BGR,2015,14.5,8.7,3.7,10.9,17.6,32.1,83.9,225.8,0.0,0.0,3.0,1644.4
BGR-2016,BGR,2016,14.6,8.6,3.7,11.1,17.1,32.3,84.2,253.8,49.8,23.8,3.1,1643.5
BGR-2017,BGR,2017,15.3,8.9,3.8,10.9,17.0,33.4,83.6,261.9,54.2,0.0,3.2,1643.3
BGR-2018,BGR,2018,13.9,8.3,3.6,11.5,16.1,35.0,86.0,255.6,51.3,0.0,4.1,1644.6
BGR-2019,BGR,2019,12.8,7.4,2.9,11.2,38.0,34.6,85.6,250.0,52.8,22.4,0.0,1645.2
BRA-1990,BRA,1990,7.7,4.8,2.2,5.3,35.7,35.3,0.0,32.0,51.6,0.0,0.0,0.0
BRA-1991,BRA,1991,8.3,5.1,2.2,5.5,33.9,35.5,85.3,31.3,49.9,18.7,0.0,0.0
BRA-1992,BRA,1992,8.2,4.9,2.0,5.3,33.1,9.6,85.7,30.9,50.1,0.0,0.0,0.0
BRA-1993,BRA,1993,8.1,4.9,1.9,4.9,32.0,10.8,85.1,31.0,51.2,17.3,0.0,0.0
BRA-1994,BRA,1994,8.5,5.1,2.0,5.2,30.4,10.9,85.0,31.5,50.2,0.0,1.2,0.0
BRA-1995,BRA,1995,9.3,5.5,2.2,5.9,29.4,0.0,83.4,30.9,48.5,18.2,1.3,1854.0
BRA-1996,BRA,1996,9.4,5.6,2.2,6.0,28.8,11.6,84.0,31.1,47.0,17.5,1.3,1845.6
BRA-1997,BRA,1997,9.4,5.5,2.1,5.9,31.2,13.0,82.6,30.4,41.5,16.2,1.3,1855.7
BRA-1998,BRA,1998,9.3,5.5,2.1,5.7,33.0,13.7,83.2,30.3,39.2,16.3,1.5,1874.2
BRA-1999,BRA,1999,8.5,4.9,1.7,5.9,29.0,14.3,84.0,29.7,33.9,15.7,2.7,1870.3
BRA-2000,BRA,2000,8.7,5.1,1.9,7.3,28.0,14.8,84.4,238.0,41.5,16.1,2.8,1861.5
BRA-2001,BRA,2001,9.4,5.5,2.0,7.2,25.0,16.9,82.6,32.0,40.5,14.9,2.7,1860.8
BRA-2002,BRA,2002,8.8,5.3,2.1,7.0,23.7,17.1,83.2,31.3,39.2,14.0,2.7,1849.9
BRA-2003,BRA,2003,8.9,5.2,1.9,6.8,23.1,18.4,84.0,30.9,38.0,13.1,2.7,1856.1
BRA-2004,BRA,2004,8.9,5.3,2.0,6.7,30.8,18.7,84.4,31.0,35.7,12.5,2.7,1852.2
BRA-2005,BRA,2005,9.5,5.6,2.1,6.8,48.5,0.0,83.3,31.5,33.9,12.0,2.5,1828.7
BRA-2006,BRA,2006,9.2,5.4,2.1,6.9,58.9,0.0,82.4,30.9,33.1,11.3,2.6,1818.0
BRA-2007,BRA,2007,9.3,5.5,2.1,6.9,63.2,9.6,82.1,31.1,32.0,10.3,2.9,1806.5
BRA-2008,BRA,2008,9.4,5.6,2.2,6.8,61.2,10.8,81.5,30.4,30.4,24.1,3.2,1811.4
BRA-2009,BRA,2009,9.5,5.6,2.1,7.0,59.3,10.9,82.1,30.3,29.4,14.3,3.0,1802.4
BRA-2010,BRA,2010,9.2,5.6,2.3,7.2,0.0,0.0,0.0,29.7,29.5,14.1,3.1,1803.1
BRA-2011,BRA,2011,9.5,5.7,2.3,7.1,56.7,11.6,85.3,238.0,28.7,13.4,3.2,1799.1
BRA-2012,BRA,2012,9.7,5.9,2.4,7.1,55.0,13.0,85.7,251.1,28.4,12.1,4.1,1766.7
BRA-2013,BRA,2013,9.8,5.9,2.4,6.9,53.6,13.7,85.1,259.9,27.2,11.3,4.3,1777.6
BRA-2014,BRA,2014,9.8,5.8,2.3,6.9,52.6,14.3,85.0,276.3,26.4,10.8,4.3,1773.9
BRA-2015,BRA,2015,10.2,6.1,2.5,6.6,51.1,14.8,83.4,263.6,25.3,10.4,4.4,1770.8
BRA-2016,BRA,2016,10.3,6.1,2.4,6.4,48.8,16.9,84.0,265.8,0.0,10.2,4.6,1766.0
BRA-2017,BRA,2017,10.9,6.5,2.6,6.3,48.0,17.1,82.6,276.0,29.5,10.1,4.8,1755.1
BRA-2018,BRA,2018,10.8,6.5,2.6,6.2,46.3,18.4,83.2,287.8,28.7,9.3,5.1,1751.3
BRA-2019,BRA,2019,11.1,6.7,2.7,6.1,45.1,18.7,84.0,300.2,28.4,9.8,4.9,0.0
CAN-1990,CAN,1990,21.3,12.9,5.3,8.5,31.0,28.0,84.4,155.1,0.0,28.2,5.0,1797.0
CAN-1991,CAN,1991,22.3,13.4,5.3,8.2,30.0,28.3,83.3,164.0,0.0,25.9,5.2,1775.0
CAN-1992,CAN,1992,21.5,13.3,5.7,7.8,28.7,29.0,82.4,175.0,0.0,0.0,5.4,1772.0
CAN-1993,CAN,1993,21.7,13.4,5.6,7.5,26.7,30.4,82.1,187.7,0.0,0.0,5.3,1769.0
CAN-1994,CAN,1994,21.3,13.1,5.4,7.4,26.2,33.5,81.5,196.9,48.6,25.5,5.4,1778.0
CAN-1995,CAN,1995,22.0,13.5,5.6,7.4,24.9,34.5,82.1,202.7,0.0,0.0,5.5,1775.0
CAN-1996,CAN,1996,21.8,13.4,5.7,7.4,23.6,35.6,81.3,206.9,48.0,24.5,5.5,1790.0
CAN-1997,CAN,1997,20.3,12.4,5.1,7.2,22.2,37.4,81.7,221.8,0.0,0.0,5.3,1798.0
CAN-1998,CAN,1998,20.1,12.3,5.1,7.3,21.3,38.3,82.3,229.0,50.6,23.8,5.1,1794.0
CAN-1999,CAN,1999,21.6,13.3,5.5,7.5,20.4,39.4,82.4,240.6,0.0,0.0,4.9,1793.0
CAN-2000,CAN,2000,18.5,11.6,5.1,7.6,19.3,40.1,82.6,256.1,0.0,0.0,5.0,1787.0
CAN-2001,CAN,2001,18.8,11.8,5.2,7.6,18.0,41.9,81.9,276.0,48.2,22.4,5.2,1774.0
CAN-2002,CAN,2002,18.7,11.6,5.0,7.7,17.3,42.9,81.9,293.7,0.0,0.0,5.4,1755.0
CAN-2003,CAN,2003,18.7,11.8,5.3,7.7,16.3,44.1,82.1,302.8,49.4,18.7,5.3,1745.0
CAN-2004,CAN,2004,17.3,11.2,5.4,7.8,15.7,44.5,82.2,324.4,56.8,0.0,5.4,1755.0
CAN-2005,CAN,2005,17.7,11.3,5.3,8.0,14.8,46.0,82.1,341.7,57.7,17.3,5.5,1745.0
CAN-2006,CAN,2006,17.5,11.0,5.0,8.2,14.5,46.9,82.5,366.4,0.0,0.0,5.5,1744.0
CAN-2007,CAN,2007,16.5,10.7,5.1,8.4,13.5,48.2,82.8,387.1,49.1,18.2,5.3,1744.0
CAN-2008,CAN,2008,16.7,10.9,5.3,8.4,13.0,48.7,82.4,399.2,60.0,17.5,4.6,1741.0
CAN-2009,CAN,2009,17.7,11.2,5.1,8.4,12.5,49.3,81.6,403.2,50.0,16.2,5.0,1712.0
CAN-2010,CAN,2010,17.4,11.3,5.5,8.4,11.7,50.3,81.3,427.7,50.6,16.3,5.3,1715.0
CAN-2011,CAN,2011,16.9,10.9,5.4,8.2,11.4,51.0,81.5,430.5,60.4,15.7,5.2,1713.0
CAN-2012,CAN,2012,16.9,11.0,5.3,8.3,11.0,52.3,81.5,437.7,50.9,16.1,5.4,1722.0
CAN-2013,CAN,2013,17.2,11.2,5.6,8.2,10.5,53.0,81.9,442.7,62.0,14.9,5.5,1716.0
CAN-2014,CAN,2014,17.7,11.7,6.0,8.0,10.0,53.6,81.6,455.5,52.5,14.0,5.7,1710.0
CAN-2015,CAN,2015,18.1,12.0,6.2,8.0,9.6,55.2,81.8,464.2,64.2,13.1,6.2,1712.0
CAN-2016,CAN,2016,16.1,10.7,5.6,8.1,9.4,56.3,81.8,521.0,53.1,12.5,6.2,1706.0
CAN-2017,CAN,2017,16.9,11.1,5.5,8.2,8.9,56.7,82.4,530.8,22.9,12.0,7.1,1695.0
CAN-2018,CAN,2018,15.4,10.1,4.9,8.2,8.4,57.9,82.7,544.4,23.6,11.3,7.1,1708.0
CAN-2019,CAN,2019,16.2,10.5,5.0,8.0,8.1,59.4,83.1,534.0,24.2,10.3,0.0,1690.0
CHE-1990,CHE,1990,34.2,22.4,12.7,12.9,0.0,0.0,0.0,0.0,25.4,0.0,3.5,0.0
CHE-1991,CHE,1991,37.1,23.2,11.7,12.9,19.3,20.3,90.5,0.0,25.4,0.0,3.7,1718.1
CHE-1992,CHE,1992,33.4,21.2,10.8,12.3,19.2,21.0,89.8,0.0,26.9,28.1,4.1,1725.4
CHE-1993,CHE,1993,32.1,20.8,11.4,12.1,0.0,0.0,0.0,0.0,28.1,12.4,4.3,1720.4
CHE-1994,CHE,1994,33.8,21.9,12.2,11.8,17.8,21.4,88.3,0.0,28.8,11.5,4.6,1739.7
CHE-1995,CHE,1995,32.3,20.7,11.2,11.4,17.8,21.1,90.2,404.5,29.9,11.2,7.7,1720.3
CHE-1996,CHE,1996,31.5,20.7,11.6,11.3,0.0,0.0,0.0,417.4,31.3,11.2,8.3,1696.9
CHE-1997,CHE,1997,29.7,19.2,10.1,11.2,16.4,22.2,89.1,426.8,33.7,12.3,8.5,1687.5
CHE-1998,CHE,1998,31.3,19.6,9.7,11.1,16.3,22.9,90.3,440.7,35.0,14.3,8.8,1695.5
CHE-1999,CHE,1999,28.4,18.3,9.8,11.1,16.1,23.6,90.7,450.8,33.9,16.8,9.0,1717.4
